link,content,sentiment,location,username,display_name,created_at,like_count,reply_count,repost_count,post_id,search_term,collected_at,user_post_number
https://bsky.app/profile/catebridget.bsky.social/post/3mao6q6v2l22l,"Garnet is January’s birth stone

Faceted natural garnet with knotted silk thread and sterling silver hook

(All jewelry made from scratch by me; no AI used at any point in the making or marketing.) 🧶 #humans 

catesjewels.etsy.com/listing/1636...",,,catebridget.bsky.social,Catherine ❄️,2025-12-23T16:38:27.213Z,0,0,0,3mao6q6v2l22l,AI,2025-12-23T17:39:54.775286,1
https://bsky.app/profile/suelibrarian.bsky.social/post/3mao6q52ngk2t,"JOBS: ""...diverse scholars to advance methods of data science + AI and their applications across all areas, including  science, health, medicine, humanities, engineering, policy, governance, ethics, democracy. apply.interfolio.com/179059
#postdoc #postdocs @academic-chatter.bsky.social @jhu.edu",,,suelibrarian.bsky.social,Sue Librarian Ph.D.,2025-12-23T16:38:25.306Z,0,0,0,3mao6q52ngk2t,AI,2025-12-23T17:39:54.992174,1
https://bsky.app/profile/christosyal.bsky.social/post/3mao6q3pfnc25,"Searching “which crimes has ashley macisaac charged” still falsely lists a sex offence. Google needs to abandon their ai experiment.
If I were MacIsaac, I’d sue them. AI hallucinations are not legal defences",,,christosyal.bsky.social,Chris Yal,2025-12-23T16:38:23.886Z,0,0,0,3mao6q3pfnc25,AI,2025-12-23T17:39:55.211624,1
https://bsky.app/profile/digitsfinancial.bsky.social/post/3mao6pxvs222u,"Bookkeeping is the easy part. Client servicing is what’s getting harder.

On the AI Native Accounting Podcast, Kane Polakoff (Partner & CAS Leader at CohnReznick, Accounting Today Top 100) explains how client questions are shifting as AI accelerates close.

Learn how CAS teams are redefining value👂",,,digitsfinancial.bsky.social,Digits,2025-12-23T16:38:19.905Z,0,1,0,3mao6pxvs222u,AI,2025-12-23T17:39:55.436316,1
https://bsky.app/profile/saredra.bsky.social/post/3mao6pw2jkk2e,"(Even the AI stuff that started this off does acknowledge it as an ironic term for death in wartime writings, but more of an inflicted detour than a chosen short-cut. Still, suggests death)",,,saredra.bsky.social,Temporary Bat,2025-12-23T16:38:17.963Z,0,0,0,3mao6pw2jkk2e,AI,2025-12-23T17:39:55.650175,1
https://bsky.app/profile/melancia323.bsky.social/post/3mao6pqoioc2y,como diabos me deixam existir por aí sendo tão feio pqp,,,melancia323.bsky.social,o guarda-costas do Kaidou 🍉🇵🇸,2025-12-23T16:38:12.325Z,0,0,0,3mao6pqoioc2y,AI,2025-12-23T17:39:55.872818,1
https://bsky.app/profile/calculito.bsky.social/post/3mao6pkaawj2r,S&E Company’s AI agritech expansion into Vietnam reveals the dark truth: farmers are at the mercy of volatile markets and climate change. This isn't just innovation; it's survival. Are we ready to face the reality of our food systems? #mikronews https://tinyurl.com/22hvu7ft…,,,calculito.bsky.social,mikronews,2025-12-23T16:38:05.195862Z,0,0,0,3mao6pkaawj2r,AI,2025-12-23T17:39:56.097466,1
https://bsky.app/profile/stacesmith94.bsky.social/post/3mao6phalk22x,New study finds AI chatbots can influence some Canadians to change their vote,,,stacesmith94.bsky.social,Stacie Smith (She/Her) 🇨🇦 🏒 🧠 ⚾️,2025-12-23T16:38:02.433Z,0,0,0,3mao6phalk22x,AI,2025-12-23T17:39:56.314815,1
https://bsky.app/profile/jadegretz.bsky.social/post/3mao6ph2bfc2j,"Kitana: Dance of Blades by Jade Gretz
www.deviantart.com/jadegretzai/...
#ai #aiart #digitalart #jadegretz #fantasyart #fanart #beautifulgirl #aiartwork #aiartcommunity #kitana #mortalkombat #arcade #videogames #gamer",,,jadegretz.bsky.social,,2025-12-23T16:38:02.226Z,0,0,0,3mao6ph2bfc2j,AI,2025-12-23T17:39:56.535464,1
https://bsky.app/profile/alanau.bsky.social/post/3mao6pgqfxk2u,"I already complain a lot about AI, but I'm constantly trying to understand if my misgivings are valid. And currently, I've decided that gen AI is good at substituting for language but not much else. Language is the core of communicating ideas and intent, but it is not actual ideas or intent.",,,alanau.bsky.social,Alan Au,2025-12-23T16:38:01.897Z,0,0,0,3mao6pgqfxk2u,AI,2025-12-23T17:39:56.753180,1
